gene,FDR_Mtb:RSTR.interaction,mean.log2expression_LTBI.media,mean.log2expression_RSTR.media,mean.log2expression_LTBI.mtb,mean.log2expression_RSTR.mtb,old.DEG
SH2D4A,0.178788625592417,-2.5657138810038096,-3.3336814154811454,-1.7709586403470698,-1.2795988620809886,
SH3GLB1,0.118224615384615,6.416381290518336,6.370131281440611,6.729676966522872,6.879499167118444,Y
SIGLEC5,0.130247457627119,4.140074940706225,4.362062247191118,3.1938969439439022,3.9709079939972027,
SLAMF8,0.190527272727273,7.904955415597694,7.857040535876826,7.765109726205358,7.405716692122615,
SLC39A1,0.130247457627119,6.331056736287837,6.364321352189995,5.987084077590385,6.289300477094927,Y
SLC44A1,0.185017351598174,5.435414205424681,5.47924584380754,5.722251967045099,6.0143756222379405,
SLC46A1,0.166711363636364,5.593284115883223,5.9953006864347005,1.4311504515017586,0.8324632438052288,
SMARCB1,0.127018181818182,5.698133582214835,5.674886560438858,5.603456517706682,5.769336377646494,
SPEN,0.173705945945946,8.954596283690888,8.970188247303884,9.067499370160304,9.228707729716515,
SSBP4,0.027944,4.230238414905042,4.362373948574081,3.206509093045617,2.8356781313962136,
ST3GAL1,0.15033164556962,9.057601043311992,8.906370059092351,9.569686307063083,9.700775031829485,
ST3GAL2,0.055888,5.439439796917245,5.366664308249721,6.330091200731889,6.693637166577394,Y
STRIP2,0.188318260869565,-0.06402516757414928,-0.5300576776186484,1.2746740998826631,1.9476868399606904,
SUMO1,0.06986,5.635394140108886,5.619323661890593,5.553850829740173,5.692664877135689,
SUSD3,0.190257021276596,0.8624801519430738,0.6987518713483425,1.340817603867107,0.44335370351078873,
SYF2,0.196393574297189,6.180590811368879,6.118149427453434,6.485609917100364,6.559160040962833,
TAOK3,0.0931466666666667,7.913476063815517,7.926157939562793,8.127966345999752,8.304292570334203,
TBC1D31,0.196393574297189,3.4425970035586593,3.59880668717469,3.207451618035717,2.958156268111696,
TBK1,0.178788625592417,5.970517346929012,5.8887853975645426,6.946782901306993,7.116616052294351,
TBKBP1,0.16246511627907,4.0156521228754025,3.929628060288025,3.9010724869631694,3.4606598291075645,
TET2,0.0947254237288136,7.906426300753941,7.937557876846508,8.429363002663086,8.72358153721201,
TFAP4,0.190527272727273,3.168787674152211,3.244420126761043,2.0725850403876236,1.500104380553939,
THADA,0.195493004115226,5.433775414972181,5.474156406276825,5.295666611759235,5.096649448547869,Y
THEM6,0.0546178181818182,2.69048140788113,2.7869453625526353,1.9674507341801433,1.3269740096995029,Y
THNSL1,0.0546178181818182,1.2931007776117713,1.4453854128560268,1.3632910290024594,0.5447265859706639,Y
TIAF1,0.142571428571429,2.824961359210774,3.0442187913997922,2.428861548034825,2.095515249032974,Y
TIMP1,0.142571428571429,7.027790443792268,7.253695854423402,7.317083047378132,7.879119891691569,
TJP1,0.173705945945946,0.5486490029032289,-0.05073358659269188,1.8934433425211408,2.170932318861634,
TMEM109,0.16246511627907,5.450878900113137,5.4951036467422885,4.926921539135692,4.699895696020028,
TMEM167B,0.12662125,5.156102878608436,5.0866796740378915,5.345005941271838,5.4821418965271835,Y
TMEM52B,0.123282352941176,0.8570939903914393,0.2205376080249512,-0.0029055365615621143,0.8394578728624192,Y
TNFAIP3,0.136568421052632,7.633208507916083,7.35103548420322,10.499290005627596,10.724414036872032,Y
TNFRSF1B,0.15033164556962,8.627573701745172,8.6830563264639,9.181442936738913,9.729393572575207,
TRAF3,0.197251764705882,6.8531593676113856,6.78816016397274,7.134688996288313,7.224326480589322,
TRMT10B,0.118224615384615,3.065674449689026,3.1636481040683337,3.1555220116717626,2.869746511465804,
TSEN54,0.178788625592417,2.9675651575244304,3.0109950114430255,2.3373806799710177,1.9064478354648848,
TSPAN3,0.178788625592417,5.650919698826849,5.580951481794451,6.032972028915405,6.1666045796165445,
TUBGCP6,0.113395942028985,5.188621923410042,5.19645301210147,5.1697040984458384,4.911014964249754,
UMPS,0.01033928,4.256895248283789,4.460191398415257,3.976413978414979,3.7174183222614987,Y
URB1,0.0947254237288136,4.953211995169889,5.016631564475142,4.861389883648256,4.613658309416911,
USB1,0.17465,5.083181510711508,5.072441239376292,4.957541847363064,5.2039877307216,
VAV2,0.142571428571429,4.1816319590814075,4.118260614184147,4.822680446322928,5.202259928965211,
VCAN,0.17465,6.193670998031105,6.508517860134917,6.408369283468055,7.304638822079896,
VCPIP1,0.158962874251497,7.011739236192909,6.96811244713122,7.448124212071484,7.224991980394675,
VPS36,0.185017351598174,5.602312844867543,5.660706067180187,5.290109154197984,5.19731839841719,
VWA8,0.04802875,4.416593454395885,4.363515920496455,4.703212948927663,4.281818925089654,
WBP1L,0.197251764705882,6.835682459788419,6.8662591894623235,6.440216548402565,6.659254650090891,
WDR3,0.188318260869565,4.919477036868862,5.045709816046755,4.523162283980466,4.389657584679939,
XPO4,0.0719769696969697,5.598005525774828,5.651319435881893,5.48684620131848,5.349164342057319,
YLPM1,0.15033164556962,7.457184689032067,7.496126223139535,7.141968200322431,7.0153942258964275,Y
YTHDC2,0.110954117647059,5.772842916454733,5.879543138618887,5.673846935692815,5.561138506473055,Y
ZBTB17,0.142571428571429,4.720349583786406,4.618899753790347,5.7112844745581475,6.024751297013882,
ZC3H15,0.158962874251497,6.774905290233658,6.867847605639594,6.785567014143813,6.7550657763168855,
ZNF184,0.127018181818182,3.8911235276012346,3.866749873648138,3.7166996343467855,3.329770695748965,Y
ZNF251,0.158962874251497,2.717977403713851,2.647000247513103,2.874377439371997,2.3777656944277705,
ZNF266,0.040918,4.722485279398436,4.853663652686929,4.995015001520619,4.874649152549987,
ZNF280D,0.123473488372093,4.980105168139645,5.073853986298338,4.407609229110841,4.167761198905452,Y
ZNF331,0.178788625592417,6.123881570405597,6.12876544642239,5.791190988221364,6.10442281196184,
ZNF518A,0.178788625592417,5.83443118438348,5.895145760426426,5.713734181071851,5.6173067639642875,
ZNF75A,0.0405188,4.38610182796443,4.5216804454834065,4.54358009716792,4.311345598201183,
ZNF780B,0.0942297674418605,4.3202400900073155,4.344603702006206,3.88563177253697,3.5033360531778985,Y
ZNRF2,0.170768888888889,6.8056887237330574,6.694127183737019,7.602372124925801,7.806624336011637,
ZSWIM4,0.127018181818182,4.456426730789567,4.25952603263225,6.1509750826852985,6.416828129284133,
ZZZ3,0.0931466666666667,5.825646546279009,5.893854008910395,5.714603922042616,5.544573763406384,
