geneName,protein.coding,abundant
AC004053.2,N,N
AC004054.1,N,N
AC004063.1,N,N
AC004066.3,N,N
AC004067.5,N,N
AC004069.2,N,N
AC004070.1,N,N
AC004076.5,N,N
AC004076.7,N,N
AC004076.9,N,N
AC004079.1,N,N
AC004108.1,N,N
AC004112.4,N,N
AC004125.3,N,N
AC004156.3,N,N
AC004158.1,N,N
AC004158.3,N,N
AC004160.4,N,N
AC004221.2,N,N
AC004231.2,N,N
AC004231.7,N,N
AC004237.1,N,N
AC004257.1,N,N
AC004381.6,N,N
AC004381.7,N,N
AC004448.2,N,N
AC004448.5,N,N
AC004449.6,N,N
AC004453.1,N,N
AC004458.1,N,N
AC004460.1,N,N
AC004470.1,N,N
AC004471.10,N,N
AC004471.9,N,N
AC004477.1,N,N
AC004485.3,N,N
AC004490.1,N,N
AC004492.1,N,N
AC004510.3,N,N
AC004520.1,N,N
AC004535.2,N,N
AC004538.3,N,N
AC004540.4,N,N
AC004540.5,N,N
AC004541.1,N,N
AC004543.1,N,N
AC004543.2,N,N
AC004549.6,N,N
AC004552.1,N,N
AC004556.1,N,N
AC004556.2,N,N
AC004593.3,N,N
AC004595.1,N,N
AC004603.4,N,N
AC004623.2,N,N
AC004623.3,N,N
AC004637.1,N,N
AC004655.1,N,N
AC004656.1,N,N
AC004673.1,N,N
AC004691.1,N,N
AC004691.5,N,N
AC004692.4,N,N
AC004699.1,N,N
AC004702.2,N,N
AC004744.3,N,N
AC004745.1,N,N
AC004754.3,N,N
AC004769.1,N,N
AC004775.5,N,N
AC004791.2,N,N
AC004812.1,N,N
AC004813.1,N,N
AC004816.1,N,N
AC004819.1,N,N
AC004824.1,N,N
AC004824.2,N,N
AC004832.1,N,N
AC004837.1,N,N
AC004837.4,N,N
AC004837.5,N,N
AC004840.8,N,N
AC004846.1,N,N
AC004850.1,N,N
AC004853.1,N,N
AC004854.4,N,N
AC004862.6,N,N
AC004869.2,N,N
AC004869.3,N,N
AC004870.3,N,N
AC004870.4,N,N
AC004875.1,N,N
AC004878.2,N,N
AC004878.8,N,N
AC004893.11,N,N
AC004895.1,N,N
AC004895.4,N,N
AC004901.1,N,N
AC004906.3,N,N
AC004915.1,N,N
AC004920.3,N,N
AC004924.1,N,N
AC004932.1,N,N
AC004941.3,N,N
AC004943.1,N,N
AC004946.1,N,N
AC004947.2,N,N
AC004951.6,N,N
AC004953.1,N,N
AC004969.1,N,N
AC004980.1,N,N
AC004980.2,N,N
AC004984.1,N,N
AC004988.1,N,N
AC005000.1,N,N
AC005008.2,N,N
AC005009.1,N,N
AC005009.2,N,N
AC005013.5,N,N
AC005019.3,N,N
AC005020.1,N,N
AC005024.1,N,N
AC005027.3,N,N
AC005037.1,N,N
AC005037.3,N,N
AC005042.1,N,N
AC005042.4,N,N
