geneName,protein.coding,abundant
FMNL1,Y,Y
FMNL2,Y,Y
FMNL3,Y,Y
FMO1,Y,N
FMO2,Y,N
FMO3,Y,N
FMO4,Y,Y
FMO5,Y,Y
FMOD,Y,N
FMR1,Y,Y
FMR1-AS1,N,N
FMR1-AS1_2,N,N
FMR1-IT1,N,N
FMR1NB,Y,N
FN1,Y,Y
FN3K,Y,Y
FN3KRP,Y,Y
FNBP1,Y,Y
FNBP1L,Y,Y
FNBP4,Y,Y
FNDC1,Y,N
FNDC1-IT1,N,N
FNDC3A,Y,Y
FNDC3B,Y,Y
FNDC4,Y,N
FNDC5,Y,Y
FNDC7,Y,N
FNDC8,Y,N
FNDC9,Y,Y
FNIP1,Y,Y
FNIP2,Y,Y
FNTA,Y,Y
FNTB,Y,Y
FO203515.1,N,N
FO393407.1,N,N
FO393414.1,N,N
FO393419.1,N,N
FO538757.1,N,N
FO538757.2,N,N
FO538757.3,N,N
FOCAD,Y,Y
FOCAD-AS1,N,N
FOLH1,Y,N
FOLR1,Y,N
FOLR2,Y,Y
FOLR3,Y,Y
FOPNL,Y,Y
FOS,Y,Y
FOSB,Y,Y
FOSL1,Y,Y
FOSL2,Y,Y
FOXA1,Y,N
FOXA2,Y,N
FOXA3,Y,N
FOXB1,Y,N
FOXB2,Y,N
FOXC1,Y,Y
FOXC2,Y,N
FOXC2-AS1,N,N
FOXCUT,N,N
FOXD1,Y,N
FOXD1-AS1,N,N
FOXD2,Y,Y
FOXD2-AS1,N,N
FOXD3,Y,N
FOXD3-AS1,N,N
FOXD4,Y,Y
FOXD4L1,Y,Y
FOXD4L3,Y,N
FOXD4L4,Y,Y
FOXD4L5,Y,Y
FOXD4L6,Y,Y
FOXE1,Y,N
FOXE3,Y,N
FOXF1,Y,N
FOXF2,Y,N
FOXG1,Y,N
FOXG1-AS1,N,N
FOXH1,Y,N
FOXI1,Y,N
FOXI2,Y,N
FOXI3,Y,N
FOXJ1,Y,N
FOXJ2,Y,Y
FOXJ3,Y,Y
FOXK1,Y,Y
FOXK2,Y,Y
FOXL1,Y,N
FOXL2,Y,N
FOXL2NB,Y,N
FOXM1,Y,Y
FOXN1,Y,N
FOXN2,Y,Y
FOXN3,Y,Y
FOXN3-AS1,N,N
FOXN3-AS2,N,N
FOXN4,Y,N
FOXO1,Y,Y
FOXO3,Y,Y
FOXO4,Y,Y
FOXO6,Y,N
FOXP1,Y,Y
FOXP1-AS1,N,N
FOXP1-IT1,N,N
FOXP2,Y,Y
FOXP3,Y,Y
FOXP4,Y,Y
FOXP4-AS1,N,N
FOXQ1,Y,N
FOXR1,Y,N
FOXR2,Y,N
FOXRED1,Y,Y
FOXRED2,Y,Y
FOXS1,Y,N
FP236240.1,N,N
FP236240.2,N,N
FP236383.1,N,N
FP236383.10,N,N
FP236383.11,N,N
FP236383.12,N,N
FP236383.2,N,N
FP236383.3,N,N
FP236383.4,N,N
FP236383.5,N,N
FP236383.6,N,N
FP236383.7,N,N
FP236383.8,N,N
FP236383.9,N,N
FP325317.1,N,N
FP325318.1,N,N
FP325331.1,N,N
FP325342.1,N,N
FP325342.2,N,N
FP565210.1,N,N
FP671120.1,N,N
FP671120.2,N,N
FP671120.3,N,N
FP671120.4,N,N
FP671120.5,N,N
FP671120.6,N,N
FP671120.7,N,N
FPGS,Y,Y
FPGT,Y,Y
FPGT-TNNI3K,N,N
FPR1,Y,Y
FPR2,Y,Y
FPR3,Y,Y
FRA10AC1,Y,Y
FRAS1,Y,N
FRAT1,Y,Y
FRAT2,Y,Y
FREM1,Y,Y
FREM2,Y,N
FREM2-AS1,N,N
FREM3,Y,N
FRG1,Y,Y
FRG2,Y,N
FRG2B,Y,N
FRG2C,Y,N
FRGCA,N,N
FRK,Y,Y
FRMD1,Y,N
FRMD3,Y,Y
FRMD4A,Y,Y
FRMD4B,Y,Y
FRMD5,Y,Y
FRMD6,Y,Y
FRMD6-AS1,N,N
FRMD6-AS2,N,N
FRMD7,Y,Y
FRMD8,Y,Y
FRMPD1,Y,N
FRMPD2,Y,N
FRMPD3,Y,Y
FRMPD3-AS1,N,N
FRMPD4,Y,N
FRMPD4-AS1,N,N
FRRS1,Y,Y
FRRS1L,Y,N
FRS2,Y,Y
FRS3,Y,Y
FRY,Y,Y
FRY-AS1,N,N
FRYL,Y,Y
FRZB,Y,N
FSBP,Y,Y
FSCB,Y,N
FSCN1,Y,Y
FSCN2,Y,Y
FSCN3,Y,N
FSD1,Y,N
FSD1L,Y,Y
FSD2,Y,Y
FSHB,Y,N
FSHR,Y,N
FSIP1,Y,Y
FSIP2,Y,Y
FSIP2-AS1,N,N
FST,Y,N
FSTL1,Y,Y
FSTL3,Y,Y
FSTL4,Y,N
FSTL5,Y,N
FTCD,Y,N
FTCD-AS1,N,N
FTCDNL1,Y,Y
FTH1,Y,Y
FTHL17,Y,N
FTL,Y,Y
FTMT,Y,N
FTO,Y,Y
FTO-IT1,N,N
FTSJ1,Y,Y
FTSJ2,Y,Y
FTSJ3,Y,Y
FTX,N,N
FTX_1,N,N
FTX_2,N,N
FTX_3,N,N
FTX_4,N,N
FTX_5,N,N
FUBP1,Y,Y
FUBP3,Y,Y
FUCA1,Y,Y
FUCA2,Y,Y
FUK,Y,Y
FUNDC1,Y,Y
FUNDC2,Y,Y
FUOM,Y,Y
FURIN,Y,Y
FUS,Y,Y
FUT1,Y,Y
FUT10,Y,Y
FUT11,Y,Y
FUT2,Y,Y
FUT3,Y,N
FUT4,Y,Y
FUT5,Y,N
FUT6,Y,N
FUT7,Y,Y
FUT8,Y,Y
FUT8-AS1,N,N
FUT9,Y,N
FUZ,Y,Y
FXN,Y,Y
FXR1,Y,Y
FXR2,Y,Y
FXYD1,Y,N
FXYD2,Y,Y
FXYD3,Y,N
FXYD4,Y,N
FXYD5,Y,Y
FXYD6,Y,Y
FXYD6-FXYD2,N,N
FXYD7,Y,Y
FYB,Y,Y
FYCO1,Y,Y
FYN,Y,Y
FYTTD1,Y,Y
FZD1,Y,Y
FZD10,Y,N
FZD10-AS1,N,N
FZD2,Y,Y
FZD3,Y,Y
FZD4,Y,Y
FZD5,Y,Y
FZD6,Y,Y
FZD7,Y,Y
FZD8,Y,Y
FZD9,Y,Y
FZR1,Y,Y
G0S2,Y,Y
G2E3,Y,Y
G3BP1,Y,Y
G3BP2,Y,Y
G6PC,Y,N
G6PC2,Y,N
G6PC3,Y,Y
G6PD,Y,Y
GAA,Y,Y
GAB1,Y,Y
GAB2,Y,Y
GAB3,Y,Y
GAB4,Y,N
GABARAP,Y,Y
GABARAPL1,Y,Y
GABARAPL2,Y,Y
GABARAPL3,N,N
GABBR1,Y,Y
GABBR2,Y,N
GABPA,Y,Y
GABPB1,Y,Y
GABPB1-AS1,N,N
GABPB2,Y,Y
GABRA1,Y,N
GABRA2,Y,N
GABRA3,Y,N
GABRA4,Y,N
GABRA5,Y,N
GABRA6,Y,N
GABRB1,Y,N
GABRB2,Y,N
GABRB3,Y,N
GABRD,Y,N
GABRE,Y,N
GABRG1,Y,N
GABRG2,Y,N
GABRG3,Y,N
GABRG3-AS1,N,N
GABRP,Y,N
GABRQ,Y,N
GABRR1,Y,N
GABRR2,Y,Y
GABRR3,Y,N
GACAT1,N,N
GACAT2,N,N
GACAT3,N,N
GAD1,Y,Y
GAD2,Y,N
GADD45A,Y,Y
GADD45B,Y,Y
GADD45G,Y,Y
GADD45GIP1,Y,Y
GADL1,Y,N
GAGE1,Y,N
GAGE10,Y,N
GAGE12B,Y,N
GAGE12C,Y,N
GAGE12D,Y,N
GAGE12E,Y,N
GAGE12F,Y,N
GAGE12G,Y,N
GAGE12H,Y,N
GAGE12J,Y,N
GAGE13,Y,N
GAGE2A,Y,N
GAGE2E,Y,N
GAK,Y,Y
GAL,Y,Y
GAL3ST1,Y,N
GAL3ST2,Y,Y
GAL3ST3,Y,N
GAL3ST4,Y,Y
GALC,Y,Y
GALE,Y,Y
GALK1,Y,Y
GALK2,Y,Y
GALM,Y,Y
GALNS,Y,Y
GALNT1,Y,Y
GALNT10,Y,Y
GALNT11,Y,Y
GALNT12,Y,Y
GALNT13,Y,N
GALNT14,Y,Y
GALNT15,Y,N
GALNT16,Y,N
GALNT18,Y,N
GALNT2,Y,Y
GALNT3,Y,Y
GALNT4,Y,Y
GALNT5,Y,N
GALNT6,Y,Y
GALNT7,Y,Y
GALNT8,Y,Y
GALNT9,Y,N
GALNTL5,Y,N
GALNTL6,Y,N
GALP,Y,N
GALR1,Y,N
GALR2,Y,N
GALR3,Y,N
GALT,Y,Y
GAMT,Y,Y
GAN,Y,Y
GANAB,Y,Y
GANC,Y,Y
GAP43,Y,N
GAPDH,Y,Y
GAPDHS,Y,N
GAPLINC,N,N
GAPT,Y,Y
GAPVD1,Y,Y
GAR1,Y,Y
GAREM,Y,Y
GAREML,Y,Y
GARNL3,Y,Y
GARS,Y,Y
GART,Y,Y
GAS1,Y,N
GAS2,Y,N
GAS2L1,Y,Y
GAS2L2,Y,N
GAS2L3,Y,Y
GAS5,N,N
GAS5-AS1,N,N
GAS6,Y,Y
GAS6-AS1,N,N
GAS6-AS2,N,N
GAS7,Y,Y
GAS8,Y,Y
GAS8-AS1,N,N
GAST,Y,N
GATA1,Y,Y
GATA2,Y,Y
GATA2-AS1,N,N
GATA3,Y,Y
GATA3-AS1,N,N
GATA4,Y,N
GATA5,Y,N
GATA6,Y,Y
GATA6-AS1,N,N
GATAD1,Y,Y
GATAD2A,Y,Y
GATAD2B,Y,Y
GATB,Y,Y
GATC,Y,Y
GATM,Y,Y
GATM-AS1,N,N
GATS,Y,Y
GATSL2,Y,Y
GATSL3,Y,Y
GBA,Y,Y
GBA2,Y,Y
GBA3,Y,N
GBAS,Y,Y
GBE1,Y,Y
GBF1,Y,Y
GBGT1,Y,Y
GBP1,Y,Y
GBP2,Y,Y
GBP3,Y,Y
GBP4,Y,Y
GBP5,Y,Y
GBP6,Y,Y
GBP7,Y,Y
GBX1,Y,N
GBX2,Y,N
GC,Y,N
GCA,Y,Y
GCAT,Y,Y
GCC1,Y,Y
GCC2,Y,Y
GCC2-AS1,N,N
GCDH,Y,Y
GCFC2,Y,Y
GCG,Y,N
GCGR,Y,N
GCH1,Y,Y
GCHFR,Y,Y
GCK,Y,N
GCKR,Y,Y
GCLC,Y,Y
GCLM,Y,Y
GCM1,Y,N
GCM2,Y,N
GCN1,Y,Y
GCNT1,Y,Y
GCNT2,Y,Y
GCNT3,Y,N
GCNT4,Y,Y
GCNT7,Y,Y
GCOM1,Y,Y
GCSAM,Y,Y
GCSAML,Y,Y
GCSAML-AS1,N,N
GCSH,Y,Y
GDA,Y,N
GDAP1,Y,Y
GDAP1L1,Y,Y
GDAP2,Y,Y
GDE1,Y,Y
GDF1,Y,N
GDF10,Y,N
GDF11,Y,Y
GDF15,Y,Y
GDF2,Y,N
GDF3,Y,N
GDF5,Y,N
GDF5OS,N,N
GDF6,Y,N
GDF7,Y,Y
GDF9,Y,Y
GDI1,Y,Y
GDI2,Y,Y
GDNF,Y,N
GDNF-AS1,N,N
GDPD1,Y,Y
GDPD2,Y,N
GDPD3,Y,Y
GDPD4,Y,N
GDPD5,Y,Y
GDPGP1,Y,Y
GEM,Y,Y
GEMIN2,Y,Y
GEMIN4,Y,Y
GEMIN5,Y,Y
GEMIN6,Y,Y
GEMIN7,Y,Y
GEMIN8,Y,Y
GEN1,Y,Y
GET4,Y,Y
GFAP,Y,Y
GFER,Y,Y
GFI1,Y,Y
GFI1B,Y,Y
GFM1,Y,Y
GFM2,Y,Y
GFOD1,Y,Y
GFOD1-AS1,N,N
GFOD2,Y,Y
GFPT1,Y,Y
GFPT2,Y,Y
GFRA1,Y,N
GFRA2,Y,Y
GFRA3,Y,N
GFRA4,Y,N
GFRAL,Y,N
GFY,Y,N
GGA1,Y,Y
GGA2,Y,Y
GGA3,Y,Y
GGACT,Y,Y
GGCT,Y,Y
GGCX,Y,Y
GGH,Y,Y
GGN,Y,Y
GGNBP2,Y,Y
GGPS1,Y,Y
GGT1,Y,Y
GGT2,Y,N
GGT5,Y,Y
GGT6,Y,N
GGT7,Y,Y
GGTLC1,Y,N
GGTLC2,Y,N
GGTLC3,Y,N
GH1,Y,N
GH2,Y,N
GHc-857G6.7,N,N
GHDC,Y,Y
GHET1,N,N
GHITM,Y,Y
GHR,Y,N
GHRH,Y,N
GHRHR,Y,N
GHRL,Y,Y
GHRLOS,N,N
GHSR,Y,N
GID4,Y,Y
GID8,Y,Y
GIF,Y,N
GIGYF1,Y,Y
GIGYF2,Y,Y
GIMAP1,Y,Y
GIMAP1-GIMAP5,N,N
GIMAP2,Y,Y
GIMAP4,Y,Y
GIMAP5,Y,Y
GIMAP6,Y,Y
GIMAP7,Y,Y
GIMAP8,Y,Y
GIMD1,Y,N
GIN1,Y,Y
GINM1,Y,Y
GINS1,Y,Y
GINS2,Y,Y
GINS3,Y,Y
GINS4,Y,Y
GIP,Y,N
GIPC1,Y,Y
GIPC2,Y,N
GIPC3,Y,Y
GIPR,Y,Y
GIT1,Y,Y
GIT2,Y,Y
GJA1,Y,Y
GJA10,Y,N
GJA3,Y,Y
GJA4,Y,Y
GJA5,Y,N
GJA8,Y,N
GJA9,Y,Y
GJB1,Y,N
GJB2,Y,Y
GJB3,Y,Y
GJB4,Y,N
GJB5,Y,N
GJB6,Y,Y
GJB7,Y,Y
GJC1,Y,Y
GJC2,Y,Y
GJC3,Y,N
GJD2,Y,N
GJD3,Y,Y
GJD4,Y,N
GJE1,Y,N
GK,Y,Y
GK-AS1,N,N
GK-IT1,N,N
GK2,Y,N
GK5,Y,Y
GKAP1,Y,Y
GKN1,Y,N
GKN2,Y,N
GLA,Y,Y
GLB1,Y,Y
GLB1L,Y,Y
GLB1L2,Y,Y
GLB1L3,Y,Y
GLCCI1,Y,Y
GLCE,Y,Y
GLDC,Y,Y
GLDN,Y,N
GLE1,Y,Y
GLG1,Y,Y
GLI1,Y,Y
GLI2,Y,N
GLI3,Y,Y
GLI4,Y,Y
GLIDR,N,N
GLIPR1,Y,Y
GLIPR1L1,Y,N
GLIPR1L2,Y,Y
GLIPR2,Y,Y
GLIS1,Y,N
GLIS2,Y,Y
GLIS2-AS1,N,N
GLIS3,Y,Y
GLIS3-AS1,N,N
GLMN,Y,Y
GLMP,Y,Y
GLO1,Y,Y
GLOD4,Y,Y
GLOD5,Y,N
GLP1R,Y,N
GLP2R,Y,N
GLRA1,Y,N
GLRA2,Y,N
GLRA3,Y,N
GLRA4,N,N
GLRB,Y,N
GLRX,Y,Y
GLRX2,Y,Y
GLRX3,Y,Y
GLRX5,Y,Y
GLS,Y,Y
GLS2,Y,Y
GLT1D1,Y,Y
GLT6D1,Y,N
GLT8D1,Y,Y
GLT8D2,Y,N
GLTP,Y,Y
GLTPD2,Y,Y
GLTSCR1,Y,Y
GLTSCR1-AS1,N,N
GLTSCR1L,Y,Y
GLTSCR2,Y,Y
GLTSCR2-AS1,N,N
GLUD1,Y,Y
GLUD2,Y,Y
GLUL,Y,Y
GLYAT,Y,N
GLYATL1,Y,Y
GLYATL1P3,Y,N
GLYATL2,Y,N
GLYATL3,Y,N
GLYCTK,Y,Y
GLYCTK-AS1,N,N
GLYR1,Y,Y
GM140,N,N
GM2A,Y,Y
GMCL1,Y,Y
GMDS,Y,Y
GMDS-AS1,N,N
GMEB1,Y,Y
GMEB2,Y,Y
GMFB,Y,Y
GMFG,Y,Y
GMIP,Y,Y
GML,Y,N
GMNC,Y,N
GMNN,Y,Y
GMPPA,Y,Y
GMPPB,Y,Y
GMPR,Y,Y
GMPR2,Y,Y
GMPS,Y,Y
GNA11,Y,Y
GNA12,Y,Y
GNA13,Y,Y
GNA14,Y,N
GNA14-AS1,N,N
GNA15,Y,Y
GNAI1,Y,Y
GNAI2,Y,Y
GNAI3,Y,Y
GNAL,Y,Y
GNAO1,Y,Y
GNAQ,Y,Y
GNAS,Y,Y
GNAS-AS1,N,N
GNAS-AS1_1,N,N
GNAS-AS1_2,N,N
GNAS-AS1_4,N,N
GNAS-AS1_5,N,N
GNAT1,Y,N
GNAT2,Y,N
GNAT3,Y,N
GNAZ,Y,Y
GNB1,Y,Y
GNB1L,Y,Y
GNB2,Y,Y
GNB2L1,Y,Y
GNB3,Y,N
GNB4,Y,Y
GNB5,Y,Y
GNE,Y,Y
GNG10,Y,Y
GNG11,Y,Y
GNG12,Y,Y
GNG12-AS1,N,N
GNG13,Y,N
GNG2,Y,Y
GNG3,Y,Y
GNG4,Y,Y
GNG5,Y,Y
GNG7,Y,Y
GNG8,Y,N
GNGT1,Y,N
GNGT2,Y,Y
GNL1,Y,Y
GNL2,Y,Y
GNL3,Y,Y
GNL3L,Y,Y
GNLY,Y,Y
GNMT,Y,N
GNPAT,Y,Y
GNPDA1,Y,Y
GNPDA2,Y,Y
GNPNAT1,Y,Y
GNPTAB,Y,Y
GNPTG,Y,Y
GNRH1,Y,Y
GNRH2,Y,N
GNRHR,Y,Y
GNS,Y,Y
GOLGA1,Y,Y
GOLGA2,Y,Y
GOLGA3,Y,Y
GOLGA4,Y,Y
GOLGA5,Y,Y
GOLGA6A,Y,N
GOLGA6B,Y,N
GOLGA6C,Y,N
GOLGA6D,Y,N
GOLGA6L1,Y,N
GOLGA6L10,Y,Y
GOLGA6L2,Y,N
GOLGA6L22,Y,Y
GOLGA6L4,Y,Y
GOLGA6L6,Y,N
GOLGA6L9,Y,Y
GOLGA7,Y,Y
GOLGA7B,Y,Y
GOLGA8A,Y,Y
GOLGA8B,Y,Y
GOLGA8F,Y,N
GOLGA8G,Y,N
GOLGA8H,Y,Y
GOLGA8J,Y,Y
GOLGA8K,Y,Y
GOLGA8M,Y,Y
GOLGA8N,Y,Y
GOLGA8O,Y,Y
GOLGA8Q,Y,Y
GOLGA8R,Y,Y
GOLGA8S,Y,Y
GOLGA8T,Y,Y
GOLGB1,Y,Y
GOLIM4,Y,Y
GOLM1,Y,Y
GOLPH3,Y,Y
GOLPH3L,Y,Y
GOLT1A,Y,N
GOLT1B,Y,Y
GON4L,Y,Y
GOPC,Y,Y
GORAB,Y,Y
GORASP1,Y,Y
GORASP2,Y,Y
GOSR1,Y,Y
GOSR2,Y,Y
GOT1,Y,Y
GOT1L1,Y,N
GOT2,Y,Y
GP1BA,Y,Y
GP1BB,Y,Y
GP2,Y,N
GP5,Y,Y
GP6,Y,Y
GP9,Y,N
GPA33,Y,Y
GPAA1,Y,Y
GPALPP1,Y,Y
GPAM,Y,Y
GPANK1,Y,Y
GPAT2,Y,Y
GPAT3,Y,Y
GPAT4,Y,Y
GPATCH1,Y,Y
GPATCH11,Y,Y
GPATCH2,Y,Y
GPATCH2L,Y,Y
GPATCH3,Y,Y
GPATCH4,Y,Y
GPATCH8,Y,Y
GPBAR1,Y,Y
GPBP1,Y,Y
GPBP1L1,Y,Y
GPC1,Y,Y
GPC2,Y,Y
GPC3,Y,N
GPC4,Y,Y
GPC5,Y,N
GPC5-AS1,N,N
GPC5-AS2,N,N
GPC5-IT1,N,N
GPC6,Y,N
GPC6-AS1,N,N
GPC6-AS2,N,N
GPCPD1,Y,Y
GPD1,Y,Y
GPD1L,Y,Y
GPD2,Y,Y
GPER1,Y,Y
GPHA2,Y,N
GPHB5,Y,N
GPHN,Y,Y
GPI,Y,Y
GPIHBP1,Y,Y
GPKOW,Y,Y
GPLD1,Y,Y
GPM6A,Y,N
GPM6B,Y,Y
GPN1,Y,Y
GPN2,Y,Y
GPN3,Y,Y
GPNMB,Y,Y
GPR1,Y,N
GPR1-AS,N,N
GPR101,Y,N
GPR107,Y,Y
GPR108,Y,Y
GPR119,Y,N
GPR12,Y,N
GPR132,Y,Y
GPR135,Y,Y
GPR137,Y,Y
GPR137B,Y,Y
GPR137C,Y,Y
GPR139,Y,N
GPR141,Y,Y
GPR142,Y,N
GPR143,Y,N
GPR146,Y,Y
GPR148,Y,N
GPR149,Y,N
GPR15,Y,Y
GPR150,Y,Y
GPR151,Y,Y
GPR152,Y,Y
GPR153,Y,Y
GPR155,Y,Y
GPR156,Y,Y
GPR157,Y,Y
GPR158,Y,N
GPR158-AS1,N,N
GPR160,Y,Y
GPR161,Y,Y
GPR162,Y,Y
GPR17,Y,N
GPR171,Y,Y
GPR173,Y,Y
GPR174,Y,Y
GPR176,Y,N
GPR179,Y,Y
GPR18,Y,Y
GPR180,Y,Y
GPR182,Y,Y
GPR183,Y,Y
GPR19,Y,Y
GPR20,Y,N
GPR21,Y,Y
GPR22,Y,Y
GPR25,Y,Y
GPR26,Y,N
GPR27,Y,Y
GPR3,Y,Y
GPR31,Y,Y
GPR32,Y,N
GPR33,Y,N
GPR34,Y,Y
GPR35,Y,Y
GPR37,Y,N
GPR37L1,Y,Y
GPR39,Y,N
GPR4,Y,N
GPR42,Y,N
GPR45,Y,Y
GPR50,Y,N
GPR50-AS1,N,N
GPR52,Y,Y
GPR55,Y,Y
GPR6,Y,N
GPR61,Y,Y
GPR62,Y,N
GPR63,Y,N
GPR65,Y,Y
GPR68,Y,Y
GPR75,Y,Y
GPR75-ASB3,N,N
GPR78,Y,N
GPR82,Y,Y
GPR83,Y,N
GPR84,Y,Y
GPR85,Y,Y
GPR87,Y,N
GPR88,Y,N
GPR89A,Y,Y
GPR89B,Y,Y
GPRASP1,Y,Y
GPRASP2,Y,Y
GPRC5A,Y,Y
GPRC5B,Y,N
GPRC5C,Y,Y
GPRC5D,Y,Y
GPRC6A,Y,N
GPRIN1,Y,Y
GPRIN2,Y,N
GPRIN3,Y,Y
GPS1,Y,Y
GPS2,Y,Y
GPSM1,Y,Y
GPSM2,Y,Y
GPSM3,Y,Y
GPT,Y,Y
GPT2,Y,Y
GPX1,Y,Y
GPX2,Y,Y
GPX3,Y,Y
GPX4,Y,Y
GPX5,Y,N
GPX6,Y,N
GPX7,Y,Y
GPX8,Y,N
GRAMD1A,Y,Y
GRAMD1B,Y,Y
GRAMD1C,Y,Y
GRAMD2,Y,N
GRAMD3,Y,Y
GRAMD4,Y,Y
GRAP,Y,Y
GRAP2,Y,Y
GRAPL,Y,Y
GRASP,Y,Y
GRB10,Y,Y
GRB14,Y,N
GRB2,Y,Y
GRB7,Y,N
GREB1,Y,Y
GREB1L,Y,Y
GREM1,Y,Y
GREM2,Y,Y
GRHL1,Y,Y
GRHL2,Y,N
GRHL3,Y,N
GRHPR,Y,Y
GRIA1,Y,N
GRIA2,Y,N
GRIA3,Y,N
GRIA4,Y,N
GRID1,Y,N
GRID1-AS1,N,N
GRID2,Y,N
GRID2IP,Y,Y
GRIFIN,Y,N
GRIK1,Y,Y
GRIK1-AS1,N,N
GRIK2,Y,N
GRIK3,Y,N
GRIK4,Y,N
GRIK4_3p_UTR,N,N
GRIK5,Y,Y
GRIN1,Y,N
GRIN2A,Y,N
GRIN2B,Y,N
GRIN2C,Y,Y
GRIN2D,Y,Y
GRIN3A,Y,Y
GRIN3B,Y,Y
GRINA,Y,Y
GRIP1,Y,Y
GRIP2,Y,Y
GRIPAP1,Y,Y
GRK1,Y,N
GRK4,Y,Y
GRK5,Y,Y
GRK5-IT1,N,N
GRK6,Y,Y
GRK7,Y,N
GRM1,Y,N
GRM2,Y,Y
GRM3,Y,N
GRM4,Y,N
GRM5,Y,N
GRM5-AS1,N,N
GRM6,Y,N
GRM7,Y,N
GRM7-AS1,N,N
GRM7-AS2,N,N
GRM7-AS3,N,N
GRM8,Y,N
GRN,Y,Y
GRP,Y,N
GRPEL1,Y,Y
GRPEL2,Y,Y
GRPEL2-AS1,N,N
GRPR,Y,Y
GRSF1,Y,Y
GRTP1,Y,Y
GRTP1-AS1,N,N
GRWD1,Y,Y
GRXCR1,Y,N
GRXCR2,Y,N
GS1-114I9.1,N,N
GS1-114I9.3,N,N
GS1-115G20.1,N,N
GS1-115M3.3,N,N
GS1-120K12.4,N,N
GS1-122H1.1,N,N
GS1-124K5.11,N,N
GS1-124K5.13,N,N
GS1-124K5.3,N,N
GS1-124K5.4,N,N
GS1-166A23.1,N,N
GS1-166A23.2,N,N
GS1-174L6.4,N,N
GS1-18A18.2,N,N
GS1-204I12.3,N,N
GS1-204I12.4,N,N
GS1-21A4.1,N,N
GS1-24F4.2,N,N
GS1-24F4.3,N,N
GS1-251I9.2,N,N
GS1-251I9.3,N,N
GS1-256O22.5,N,N
GS1-259H13.13,N,N
GS1-259H13.2,N,N
GS1-25M2.1,N,N
GS1-278J22.1,N,N
GS1-278J22.2,N,N
GS1-279B7.1,N,N
GS1-279B7.2,N,N
GS1-293C5.1,N,N
GS1-304P7.3,N,N
GS1-306C12.1,N,N
GS1-358P8.4,N,N
GS1-393G12.12,N,N
GS1-393G12.13,N,N
GS1-393G12.14,N,N
GS1-39E22.1,N,N
GS1-39E22.2,N,N
GS1-433O24.1,N,N
GS1-519E5.1,N,N
GS1-542M4.4,N,N
GS1-57L11.1,N,N
GS1-590J6.3,N,N
GS1-594A7.3,N,N
GS1-5L10.1,N,N
GS1-600G8.3,N,N
GS1-600G8.5,N,N
GS1-72M22.1,N,N
GSAP,Y,Y
GSC,Y,N
GSC2,Y,N
GSDMA,Y,Y
GSDMB,Y,Y
GSDMC,Y,N
GSDMD,Y,Y
GSE1,Y,Y
GSG1,Y,Y
GSG1L,Y,N
GSG1L2,Y,N
GSG2,Y,Y
GSK3A,Y,Y
GSK3B,Y,Y
GSKIP,Y,Y
GSN,Y,Y
GSN-AS1,N,N
GSPT1,Y,Y
GSPT2,Y,Y
GSR,Y,Y
GSS,Y,Y
GSTA1,Y,N
GSTA2,Y,N
GSTA3,Y,N
GSTA4,Y,Y
GSTA5,Y,N
GSTCD,Y,Y
GSTK1,Y,Y
GSTM1,Y,Y
GSTM2,Y,Y
GSTM3,Y,Y
GSTM4,Y,Y
GSTM5,Y,N
GSTO1,Y,Y
GSTO2,Y,Y
GSTP1,Y,Y
GSTT1,Y,Y
GSTT2,Y,Y
GSTT2B,Y,Y
GSTZ1,Y,Y
GSX1,Y,N
GSX2,Y,N
GTDC1,Y,Y
GTF2A1,Y,Y
GTF2A1L,Y,N
GTF2A2,Y,Y
GTF2B,Y,Y
GTF2E1,Y,Y
GTF2E2,Y,Y
GTF2F1,Y,Y
GTF2F2,Y,Y
GTF2H1,Y,Y
GTF2H2,Y,Y
GTF2H2C,Y,Y
GTF2H2C_2,Y,Y
GTF2H3,Y,Y
GTF2H4,Y,Y
GTF2H5,Y,Y
GTF2I,Y,Y
GTF2IRD1,Y,Y
GTF2IRD2,Y,Y
GTF2IRD2B,Y,Y
GTF3A,Y,Y
GTF3C1,Y,Y
GTF3C2,Y,Y
GTF3C2-AS1,N,N
GTF3C3,Y,Y
GTF3C4,Y,Y
GTF3C5,Y,Y
GTF3C6,Y,Y
GTPBP1,Y,Y
GTPBP10,Y,Y
GTPBP2,Y,Y
GTPBP3,Y,Y
GTPBP4,Y,Y
GTPBP6,Y,Y
GTPBP8,Y,Y
GTSCR1,N,N
GTSE1,Y,Y
GTSE1-AS1,N,N
GTSF1,Y,Y
GTSF1L,Y,N
GU182339.1,N,N
GU182339.12,N,N
GU182343.1,N,N
GU182347.12,N,N
GU182349.1,N,N
GU182353.2,N,N
GU182353.5,N,N
GU182355.5,N,N
GU182357.6,N,N
GUCA1A,Y,N
GUCA1B,Y,Y
GUCA1C,Y,N
GUCA2A,Y,N
GUCA2B,Y,N
GUCD1,Y,Y
GUCY1A2,Y,N
GUCY1A3,Y,Y
GUCY1B3,Y,Y
GUCY2C,Y,N
GUCY2D,Y,N
GUCY2F,Y,N
GUF1,Y,Y
GUK1,Y,Y
GULP1,Y,N
GUSB,Y,Y
GUSBP11,N,N
GVQW1,Y,Y
GVQW2,Y,N
GXYLT1,Y,Y
GXYLT2,Y,N
GYG1,Y,Y
GYG2,Y,N
