group,pathway,fgsea.FDR,fgsea.ES,fgsea.NES,fgsea.size,fgsea.FC,fgsea.leadingEdge,gage.FDR,gage.geomean,gage.statmean,gage.size,gage.FC
TBinRSTR,module_18,0.4474087812533438,-0.24038594863129092,-1.0892542208320564,177,down,ST14;PDK4;SELPLG;PCYOX1;ABHD2;XYLT2;EVI2B;PIGM;ANKRD39;MINA;TYSND1;SLC25A20;PDE1B;THAP11;AMT;TBC1D5;VWF;USP21;DIRC2;ARRDC5;SLC22A18;CDIPT;DVL2;DPAGT1;SERAC1;ABHD3;TRIM8;MPO;GMCL1;CPT1A;YPEL3;FAM35A;FABP5;ATG16L2;CTSZ;NCAPD2;ALG14;GDPD5;P4HTM;CAPS;LFNG;EVI2A;DHRSX;AASDH;TRIM37;PSEN2;SIGLEC9;XRCC1;PPP1R3E;ST3GAL6;TM2D2;USP4,0.08079653364552862,0.014051571068787579,-2.206642014302596,177,down
TBinRSTR,module_19,1,-0.12759310060981005,-0.5497968288160456,123,down,GPR27;TMEM53;TTC13;TTYH3;IFI30;RWDD2B;TBL1X;RHOT1;LILRA2;KITLG;FLOT2;STRADB;FCGR2B;PIK3CG;PI4K2A;CDK2AP2;RNF44;MED8;MRE11A;LHFPL2;ALDH6A1;PREB;DPYD;SCRN1;MTMR10;CALR;PARP3;SDF2L1;DNTTIP1;SSBP2;TNRC6B;VGLL4;SYS1;SOX13,0.32893271772786087,0.12871280258916293,-1.1359564809377363,123,down
TBinRSTR,module_20,0.6808967639015496,0.34690379048163034,1.01348766746303,39,up,LPL;ALCAM;SPINK1;NLRP3;IL10RA;GPR141;EMP1;ELL;ANTXR2;ADCY3;ANXA1;CSTB;CENPN,0.864502819880981,0.6765674242546809,0.46017211319805434,39,down
TBinRSTR,module_21,0.004225563345956283,0.5245490908133676,1.7336095247247136,83,up,HES4;CCNA1;GREM1;ATF3;DPYSL3;SPSB1;CCL22;TMEM217;P2RX7;SERPINE2;RCAN1;SCG5;EMILIN1;TRIM9;KCNE1;UBTD2;BAALC;BEX2;LAMA5;TM4SF19;CD109;SLC38A1;BAG3;CIR1;HPGD;SEL1L3;SDC2;RHOC,0.04098498129475548,0.0062368449796367026,2.529845164709358,83,up
TBinRSTR,module_22,0.03391079985256174,-0.3562250274369594,-1.4626082620718046,90,down,E2F2;OLFM1;EPHB2;RAD51AP1;TMEM119;LTA4H;HS3ST1;PRIM1;HTRA1;CCNF;ICMT;SLC45A3;MORN2;PCNA;MCM4;MCM3;CEP55;GPSM2;PFKM;AURKA;FUT8;MUM1;PLK1;NUSAP1;UHRF1;TIMELESS;CDC20;MCM6;SMC2;ME2;SGOL2,0.055831605378583685,0.006068652758541708,-2.536036520937847,90,down
TBinRSTR,module_23,1,-0.17334763705770787,-0.873880030254714,568,down,ASB13;FRMD4A;SNX24;SNX30;HEATR3;DHRS3;KCTD12;NUDT6;ACOT11;ZBTB47;SORD;MFSD3;SPRED1;ETV5;WDR92;TM6SF1;SLC22A5;GIMAP1;GEMIN6;VSIG4;NARS2;PRKCA;H2AFY;EEF2K;GLB1L;LRRK2;TSEN54;TM7SF3;FECH;MSR1;CSRP2BP;MRPS26;TMEM14A;SATB2;HINT2;DDX28;KAT2A;DECR2;CCDC34;NAGLU;UROS;MICALCL;NEFH;LCLAT1;CROT;COMMD3;AHCY;HN1;TOP1MT;STRA13;BCKDHB;SKA2;STX8;RPUSD2;NUDT5;CCDC43;ELAC2;HRSP12;MKL2;H1F0;RASSF1;SCLY;POP5;TBC1D9B;SUMO3;PXN;TCEAL1;ERMP1;ACBD6;TTF2;TMTC4;MAT2A;HNMT;TARBP1;SAMM50;RNASEH2A;FBXW9;TRIAP1;GPAM;RAD51C;TPMT;AKNA;PDCD2L;MRPS7;BIN1;ECHS1;CASP6;RSPH3;GTF3C2;ACAT1;PTTG1IP;RAB6B;HEXB;UNC93B1;JMJD8;CHCHD1;LIMA1;FAM45A;GLRX5;L2HGDH;PXK;TTC5;STX7;PPIH;ICT1;ZNF789;SRR;WDR18;RAP1A;MRPS15,NA,NA,NA,NA,NA
TBinRSTR,module_24,0.04843492586490939,-0.2260666183180081,-1.1596701930723068,730,down,SMAD6;IER5L;COL15A1;XYLB;CKLF;TEX2;WDR77;RAB11FIP1;VASH1;DCTPP1;PDIK1L;ALDH1A1;ALDH1B1;HMBS;ENTPD1;EPOR;SIGMAR1;ZFP36L2;PGP;KBTBD7;SLC15A2;ECE2;PGM2;SFMBT2;MARS2;GALE;MAP3K3;SULT1A4;RPP40;ZNF593;PFAS;RPE;SH2D3C;RTN4IP1;DTWD1;UCHL3;FPR3;COTL1;ZNF480;RASGRP3;FHOD1;POLR3K;TSEN2;MAPK14;DOLPP1;RSAD1;PGAM5;CECR5;ATPAF2;TMEM192;MRPL35;SYCP3;TMEM173;SLC25A15;ALG3;PEMT;ANKRD16;PLEK2;MBLAC2;ZMYND19;CRAT;TFB1M;PTCD2;ECH1;PTER;CHCHD4;CCDC86;FAM136A;MTHFD1;PTGES2;TUBGCP4;SNX27;MRPL40;FDX1L;RAB23;DDX55;MRPS17;NOP2;IMP3;ATIC;ST8SIA4;EARS2;GCDH;FAHD1;SURF6;EXOSC7;CYP4V2;ACP6;PHB;PPAT;WDR36;NXT1;ASAH1;MRPS12;SNRPC;MRPL12;TMEM177;ALDH2;PSMG3;POLR3B;ARMCX5;FAM98A;NARS;SH3RF1;MRPL3;WDR12;TUBG1;TESK2;DKC1;CSTF2;DDX31;ISOC2;ALG8;POMT2;DHX35;ZNF250;LASP1;PPAN;NOL6;DARS2;GCSH;NME1;RNF170;TICAM2;NR2C2AP;RMI1;MRPS23;DHX33;POLR2I;TOMM40;CLCN5;ALKBH2;PAFAH2;PUS1;UBE2D4;LIPT1;PRMT6;MTHFR;GPATCH4;TMED3;CUTC;CRLS1;SLC25A12;DEPDC5;GOT2;THOP1;ATP5G3;MRPS27;BRD3;BYSL;PAK1IP1;NPM3;CHCHD6;N6AMT1;DPH2;ZNF500;ATP5G1;SLC25A22;GMNN;KCTD15;INTS7;ZNF195;ZDHHC24;ANAPC1;TRMT12;FKBP4;SRM;DDX54;IFRD2;MTIF3;TRDMT1;HIBCH;MPHOSPH9;PPIL1;MEMO1;LMNB2;POLDIP2;EEF1E1;SLC25A11;DHX37;BCS1L;EXOSC2;VTI1B;RUNDC1;GDAP2;SRPRB;C1QBP;ZNF234;AGPAT5;C1GALT1C1;COPS3;POP1;PIGU;LSM7;NOL8;WDR46;REXO4;ANAPC5;KCNG2;UTP15;IMP4;AIMP2;ACTR5;BOP1;PSMG1;ACTL6A;BOLA2;WDR4;SMARCAD1;MRTO4;MRPS18C;NKRF;CCDC58;LTV1;BRIX1;GGA3;PPP1R14B;MRPS11;AMMECR1;NOP56;BMS1;ZZZ3;PPP3R1;NOB1;DDX10;LRPPRC;PRUNE;HSPA4;MRPL42;SGMS1;PDIA4;PRMT5;TSC22D3;TMEM126A;HSD17B10;MRPL17;PAQR3;RIOK1;MRPS2;MRPL24;NUDC;COQ10A;DCLRE1A;MRPL36;CDC40,NA,NA,NA,NA,NA
TBinRSTR,module_25,0.5270651754724258,-0.26097576390242166,-1.0821845515615796,96,down,ABHD8;PSTPIP1;LTB4R;VPS26B;CNPY3;SPHK2;XPO7;PEX6;ZNF775;FAM98C;ARMC7;ARHGAP19;MYL6B;ARHGAP30;ARL15;BAD;SIN3B;SGSM3;CTDSP1;SGSH,0.23546895247943073,0.06654557352679563,-1.5104725418852694,96,down
TBinRSTR,module_26,1,-0.16482233608469532,-0.7439323368911493,173,down,OSBPL11;MANEA;MCEE;PPP1CC;FRAT1;PUS7L;NARFL;DUS4L;ZNF629;SPIN4;AGGF1;AMD1;PBX3;LACTB2;VPS35;SLC25A46;ANKZF1;RFNG;RNF214;ABCB10;UPF3A;DHX29;CDK5RAP3;RRAS;POLE3;PRRC1;NEURL4;TKT;PIGN;EIF4EBP2;DNAJC10;DLG4;PCBD2;SUCLA2;ZNF324;RMND5B;ZNF341;S100PBP;ALG5;ECHDC1;DDX46;SEPHS1;POLM;B3GALT4;GNPDA2;XPO4;OTUD6B;SLC25A43;DNAJC13;ZNF518A;LMNA;CSPP1;SETDB1;SNX33;UCHL5;PRMT3;ZNF76;ZMPSTE24;TMEM33;SUGT1;SNX4;NETO2,0.16072852749608488,0.038435082662107226,-1.7772915049918596,173,down
TBinRSTR,module_27,0.9820836447971173,-0.2600901292812433,-0.8493523254422292,30,down,SLCO4C1;MVK;DHCR24;MMAB;EBP;FADS1,0.5575970176695845,0.37367622161252506,-0.3237579918766694,30,down
